michelin_year,restaurant_name,michelin_stars,prior_stars,event_flag,area,flag
2011,The French Laundry,3,3,None,SF,Include
2011,The Restaurant At Meadowood,3,2,Gained 1 Star(s),SF,Include
2011,Manresa,2,2,None,SF,Include
2011,Coi,2,2,None,SF,Include
2011,Saison,1,0,Gained 1 Star(s),SF,Include
2011,Benu,0,0,None,SF,Include
2011,Baumé,1,0,Gained 1 Star(s),SF,Include
2011,Quince,1,1,None,SF,Include
2011,Atelier Crenn,0,0,None,SF,Include
2011,Acquerello,1,1,None,SF,Include
2011,Commis,1,1,None,SF,Include
2011,Aziza,1,1,None,SF,Include
2011,SolBar,1,1,None,SF,Include
2011,Bouchon,1,1,None,SF,Include
2011,Terra,1,1,None,SF,Exclude
2011,Madrona Manor,1,1,None,SF,Exclude
2011,Ame,1,1,None,SF,Include
2011,Plumed Horse,1,1,None,SF,Include
2011,Farmhouse Inn Restaurant,1,1,None,SF,Include
2011,Chez TJ,1,1,None,SF,Include
2011,La Toque,1,1,None,SF,Include
2011,Auberge du Soleil,1,1,None,SF,Exclude
2011,Luce,1,1,None,SF,Exclude
2011,Campton Place Restaurant,1,0,Gained 1 Star(s),SF,Include
2011,Gary Danko,1,1,None,SF,Include
2011,The Village Pub,1,1,None,SF,Include
2011,Spruce,1,0,Gained 1 Star(s),SF,Include
2011,Cyrus,2,2,None,SF,Exclude
2011,Boulevard,1,1,None,SF,Include
2011,Wakuriya,1,0,Gained 1 Star(s),SF,Include
2011,La Folie,1,1,None,SF,Include
2011,Michael Mina,0,1,Lost 1 Star(s),SF,Include
2011,Madera,1,0,Gained 1 Star(s),SF,Include
2011,Terrapin Creek Cafe & Restaurant,0,0,None,SF,Include
2011,Sons & Daughters,0,0,None,SF,Include
2011,Redd,1,1,None,SF,Include
2011,Keiko  Nob Hill,0,0,None,SF,Include
2011,Masas,1,1,None,SF,Include
2011,All Spice,0,0,None,SF,Include
2011,SPQR,0,0,None,SF,Include
2011,Ubuntu,1,1,None,SF,Exclude
2011,Alexanders Steakhouse,1,0,Gained 1 Star(s),SF,Include
2011,Frances,1,0,Gained 1 Star(s),SF,Include
2011,étoile,1,1,None,SF,Exclude
2011,One Market Restaurant,1,1,None,SF,Include
2011,Fleur de Lys,1,1,None,SF,Exclude
2011,Santé,1,1,None,SF,Include
2011,State Bird Provisions,0,0,None,SF,Include
2011,La Costanera,0,0,None,SF,Include
2011,The Dining Room at the Ritz Carlton,1,1,None,SF,Exclude
2011,Applewood,1,0,Gained 1 Star(s),SF,Exclude
2011,Dio Deka,1,0,Gained 1 Star(s),SF,Include
2011,KUSAKABE,0,0,None,SF,Include
2011,Murray Circle,1,1,None,SF,Include
2011,Lazy Bear,0,0,None,SF,Include
2011,Commonwealth,0,0,None,SF,Include
2011,Rasa,0,0,None,SF,Include
2011,Sushi Yoshizumi,0,0,None,SF,Include
2011,Mourad Restaurant,0,0,None,SF,Include
2011,Aster,0,0,None,SF,Include
2011,Californios,0,0,None,SF,Include
2011,Octavia,0,0,None,SF,Include
